CSA2010,eattend15,mattend15,hsattend15,aastud15,wstud15,hstud15,abse15,absmd15,abshs15,drop15,compl15,sclsw15,sclemp15,eenrol15,menrol15,hsenrol15,pmath315,pread315,pmath515,pread515,pmath815,pread815
Community Statistical Areas (CSAs),Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Percent of Students that are African American,Percent of Students that are White (non-Hispanic),Percent of Students that are Hispanic,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),High School Dropout/Withdrawal Rate,High School Completion Rate,Percent of Students Switching Schools within School Year,Percentage of Population aged 16-19 in School and/or Employed,Number of Students Officially Enrolled in 1st - 5th Grade,Number of Students Officially Enrolled in 6th - 8th Grade,Number of Students Officially Enrolled in 9th - 12th Grade,Percentage of 3rd Grade Students who met or exceeded PARCC Math,Percentage of 3rd Grade Students who met or exceeded PARCC Reading,Percentage of 5th Grade Students who met or exceeded PARCC Math,Percentage of 5th Grade Students who met or exceeded PARCC Reading,Percentage of 8th Grade Students who met or exceeded PARCC Math,Percentage of 8th Grade Students who met or exceeded PARCC Reading
Allendale/Irvington/S. Hilton,940,554,735,93.2705249,3.723642889,1.884253028,21.38297872,17.68953069,40.13605442,3.537414966,77.64705882,7.635942923,96.11553785,909,540,734,10.36585366,12.80487805,4.87804878,6.707317073,4.968944099,6.395348837
Beechfield/Ten Hills/West Hills,634,331,442,93.60341151,2.842928216,2.416488984,11.04100946,15.70996979,33.4841629,2.036199095,86.79245283,5.643203883,66.54411765,608,324,437,15.38461538,27.35042735,9.259259259,15.74074074,3.333333333,20.72072072
Belair-Edison,1148,665,935,96.28820961,1.382823872,1.637554585,19.94773519,14.88721805,39.89304813,3.315508021,80,8.447126072,87.16861082,1125,649,962,16.01941748,16.42512077,5.607476636,7.981220657,6.132075472,8.968609865
Brooklyn/Curtis Bay/Hawkins Point,1122,498,547,54.59160129,27.54960775,15.68989386,23.08377897,25.90361446,43.14442413,8.226691042,69.41176471,7.633294975,74.26108374,1059,470,539,11.26760563,7.582938389,9.677419355,11.61290323,5.303030303,8.695652174
Canton,107,33,29,18.93491124,51.47928994,25.44378698,3.738317757,0,31.03448276,10.34482759,75,3.827751196,100,104,32,29,56.25,56.25,28.57142857,14.28571429,77.77777778,66.66666667
Cedonia/Frankford,1339,744,1075,89.55034832,3.356554782,2.026599113,13.06945482,10.08064516,34.51162791,2.046511628,85.77075099,5.686433794,76.52631579,1280,727,1069,15.13944223,16.26984127,12.55411255,11.68831169,2.551020408,10.69767442
Cherry Hill,856,394,462,95.79439252,1.168224299,2.511682243,26.98598131,21.31979695,48.91774892,5.411255411,66.99029126,12.21335992,70.80745342,828,379,459,10.6918239,13.20754717,0.617283951,0.617283951,2.459016393,7.03125
Chinquapin Park/Belvedere,417,213,260,87.52808989,6.179775281,4.831460674,13.9088729,15.96244131,30.76923077,1.923076923,87.03703704,4.310344828,76.12732095,408,206,256,16.17647059,26.47058824,11.42857143,18.57142857,1.960784314,20
Claremont/Armistead,740,361,394,56.12040134,16.18729097,25.55183946,12.97297297,14.95844875,38.83248731,2.791878173,77.52808989,4.261206419,59.95623632,702,338,392,18.86792453,19.49685535,9.836065574,11.47540984,4.761904762,14.67889908
