CSA2010,teenbir15,termbir15,birthwt15,prenatal15,leadtest15,ebll15,tanf15,liquor15,hfai15,lifexp15,mort1_15,mort14_15,mort24_15,mort44_15,mort64_15,mort84_15,mort85_15
Community Statistical Areas,"Teen Birth Rate per 1,000 Females (aged 15-19)",Percent of Births Delivered at Term (37-42 Weeks),Percent of Babies Born with a Satisfactory Birth Weight,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,Percent of Families Receiving TANF,"Liquor Outlet density (per 1,000 Residents)",Average Healthy Food Availability Index,Life Expectancy,Infant Mortality,Mortality by Age (1-14 years old),Mortality by Age (15-24 years old),Mortality by Age (25-44 years old),Mortality by Age (45-64 years old),Mortality by Age (65-84 years old),Mortality by Age (85 and over)
Allendale/Irvington/S. Hilton,33.6,86.8,85.8,50.7,215,0,10.6,0.7,7.5,70.9,10.6,4.5,14.9,37.8,124.5,456.0," 1,216.5 "
Beechfield/Ten Hills/West Hills,37.4,80.6,86.8,43.1,194,0,4.7,0.1,10.4,74.7,8.4,0.0,14.0,23.4,92.6,344.6," 1,523.8 "
Belair-Edison,28.4,86.0,86.8,49.4,NA,NA,9.6,0.5,8.2,72.0,10.1,1.1,14.3,31.5,110.1,408.9," 1,905.5 "
Brooklyn/Curtis Bay/Hawkins Point,54.4,81.3,79.2,43.7,299,0,11.9,1.3,8.8,69.7,9.0,3.1,14.4,33.2,151.8,498.3," 1,456.0 "
Canton,0.0,92.1,93.9,81.6,153,0,0.4,4.4,15.2,78.4,3.2,0.0,6.6,4.7,80.2,362.4," 1,171.1 "
Cedonia/Frankford,35.3,84.8,86.9,47.7,270,0,7.7,0.7,9.0,72.4,12.2,2.3,13.3,29.0,101.2,454.7," 1,432.0 "
Cherry Hill,54.8,76.2,80.3,42.2,111,0,17.8,0.1,7.9,69.5,18.8,1.7,17.6,34.9,135.4,500.9," 1,519.2 "
Chinquapin Park/Belvedere,29.5,89.8,90.8,57.1,188,0,5.2,0.6,8.7,75.3,9.0,0.0,10.8,20.1,106.2,311.3," 1,576.5 "
Claremont/Armistead,48.9,86.7,90.3,46.7,67,0,7.7,0.7,6.5,70.9,8.6,1.1,8.4,20.3,141.0,568.6," 1,878.0 "
Clifton-Berea,36.0,82.7,82.7,45.7,73,0,21.9,1.5,8.2,66.9,14.8,4.2,21.3,55.9,198.1,382.2," 1,671.5 "
Cross-Country/Cheswolde,6.7,95.5,95.9,59.6,425,0,1.3,0.0,0.0,87.1,5.4,0.0,4.4,6.4,45.8,177.4, 765.1 
Dickeyville/Franklintown,21.1,87.7,89.2,55.4,95,0,4.3,0.0,2.0,73.2,13.2,2.4,6.2,24.9,102.8,435.9," 1,534.9 "
Dorchester/Ashburton,25.8,81.9,82.6,43.5,107,6.5,6.7,0.2,7.7,73.4,6.4,3.2,22.1,33.3,119.1,342.1," 1,481.0 "
Downtown/Seton Hill,10.9,88.2,90.6,50.6,118,0,6.5,7.3,8.9,67.5,8.4,15.5,5.7,14.7,177.8,648.4," 1,923.1 "
Edmondson Village,34.0,87.3,87.3,47.1,214,0,10.9,0.1,7.2,71.8,9.8,0.0,14.3,37.4,115.5,415.9," 1,705.9 "
Fells Point,11.1,91.2,93.4,57.4,177,0,0.5,4.2,11.3,78.7,5.7,0.0,5.3,8.1,66.9,313.0," 1,311.1 "
Forest Park/Walbrook,37.2,87.7,90.2,43.4,NA,NA,8.5,0.4,9.9,74.0,10.6,3.6,16.2,28.7,107.7,322.2," 1,386.8 "
Glen-Fallstaff,17.1,89.1,90.7,44.6,NA,NA,3.9,0.5,9.1,79.2,9.7,1.6,7.1,22.5,70.9,249.2," 1,151.4 "
Greater Charles Village/Barclay,5.8,85.6,88.5,44.6,72,0,7.0,1.1,10.9,74.1,11.4,3.9,2.4,14.7,133.3,387.9," 1,077.8 "
Greater Govans,46.3,85.4,88.1,46.4,NA,NA,9.5,0.2,9.7,73.3,5.7,0.0,11.7,28.5,120.8,385.0," 1,605.8 "
Greater Mondawmin,16.1,84.9,83.3,43.7,222,0,11.3,0.2,9.7,70.4,5.2,6.9,12.9,44.9,162.1,380.3," 1,333.3 "
Greater Roland Park/Poplar Hill,0.0,92.2,98.0,74.5,65,0,0.1,0.3,8.2,83.9,3.6,0.0,0.0,4.3,34.1,204.7," 1,451.2 "
Greater Rosemont,39.8,88.7,84.8,36.6,189,0,14.5,0.9,7.5,70.6,11.3,0.5,15.6,46.5,141.6,420.5," 1,275.4 "
Greenmount East,38.6,80.0,80.9,48.7,96,6.3,16.0,1.6,10.2,67.9,16.2,2.6,12.2,47.3,175.2,431.6," 1,512.6 "
Hamilton,16.8,88.7,88.7,59.6,87,0,3.5,0.7,8.0,73.8,13.4,3.6,16.2,16.7,94.6,413.9," 1,425.3 "
Harbor East/Little Italy,28.2,82.4,86.5,59.5,48,0,14.5,2.8,10.4,72.1,16.7,0.0,23.1,18.9,129.9,427.2," 1,176.5 "
Harford/Echodale,31.7,87.4,87.4,57.3,268,0,3.3,0.5,8.7,75.7,2.6,1.3,9.7,16.6,86.1,390.8," 1,589.7 "
Highlandtown,69.0,89.3,89.3,56.0,115,0,2.5,5.0,13.9,74.5,10.3,0.0,4.5,12.3,119.7,376.8," 1,288.1 "
Howard Park/West Arlington,14.0,80.2,80.2,43.0,130,0,4.1,0.2,9.1,76.1,5.9,1.2,9.6,22.1,103.6,330.4," 1,377.4 "
Inner Harbor/Federal Hill,10.0,93.1,93.1,71.1,210,0,2.2,2.5,8.5,79.2,3.3,0.0,4.3,5.9,75.6,335.0," 1,231.8 "
Lauraville,18.3,92.1,92.9,59.8,97,0,3.5,0.5,9.3,76.5,4.2,3.8,12.3,14.8,77.1,355.7," 1,376.9 "
Loch Raven,26.1,94.1,92.9,54.1,287,0,4.1,0.2,10.5,75.9,14.2,0.8,7.7,24.7,86.4,368.3," 1,068.6 "
Madison/East End,53.2,83.2,85.4,43.1,NA,NA,22.1,1.4,9.7,68.9,12.1,4.2,10.9,30.0,172.8,483.2," 1,631.6 "
Medfield/Hampden/Woodberry/Remington,36.8,86.3,85.9,67.9,215,0,1.7,1.0,9.7,76.5,6.9,0.0,4.2,15.0,97.2,406.9, 991.7 
Midtown,3.2,82.1,86.3,60.0,92,0,4.8,1.8,11.2,76.4,9.7,0.0,2.3,13.2,107.0,348.2," 1,058.8 "
Midway/Coldstream,32.7,85.2,83.6,53.3,201,5.0,15.0,1.1,9.1,69.0,13.0,7.4,20.8,40.7,145.7,391.5," 2,000.0 "
Morrell Park/Violetville,73.9,90.3,91.0,56.0,57,0,3.5,0.9,9.1,73.6,8.2,0.0,9.7,25.6,134.9,431.3, 946.6 
Mount Washington/Coldspring,0.0,90.9,87.3,74.5,88,0,0.7,0.4,28.5,81.5,0.0,0.0,5.7,9.2,43.8,249.3," 1,605.8 "
North Baltimore/Guilford/Homeland,0.8,93.9,94.7,65.9,179,0,0.6,0.3,8.0,84.0,1.5,1.9,1.9,5.5,48.8,196.6," 1,095.4 "
Northwood,6.7,90.9,89.0,59.1,229,0,4.8,0.1,9.1,75.6,14.1,0.9,5.9,20.0,96.9,317.0," 1,434.1 "
Oldtown/Middle East,44.5,80.4,83.0,54.9,111,0,19.8,0.5,8.9,70.4,12.6,4.1,10.9,31.8,167.3,415.7," 1,189.7 "
Orangeville/East Highlandtown,126.3,89.3,90.2,41.5,101,0,5.0,2.5,8.9,73.0,10.3,0.0,8.2,17.2,137.9,411.3," 1,400.0 "
Patterson Park North & East,59.7,89.5,90.1,47.3,143,0,7.9,1.2,10.8,72.4,10.9,1.6,9.3,17.0,133.9,424.4," 1,377.0 "
Penn North/Reservoir Hill,32.4,88.7,88.7,42.5,195,0,13.5,0.5,7.7,71.6,9.9,3.3,10.3,41.5,123.7,410.8," 1,350.9 "
Pimlico/Arlington/Hilltop,56.4,85.7,86.5,38.1,NA,NA,10.1,0.8,8.0,68.2,20.0,1.0,30.6,49.1,157.1,407.9," 1,705.4 "
Poppleton/The Terraces/Hollins Market,47.6,81.7,85.9,53.5,127,0,24.3,1.4,10.7,68.4,15.4,2.0,13.3,28.7,198.9,419.1," 1,777.8 "
Sandtown-Winchester/Harlem Park,39.7,80.1,82.0,43.2,104,0,19.4,1.5,9.1,70.0,10.1,1.4,21.5,42.6,167.0,408.2," 1,043.8 "
South Baltimore,0.0,88.9,93.8,71.5,138,0,0.4,3.3,14.0,76.7,1.5,4.0,2.7,7.9,79.7,369.2," 1,820.9 "
Southeastern,48.5,88.2,90.9,33.6,66,0,7.9,2.6,12.3,72.7,8.9,3.6,4.5,23.5,146.3,392.8," 1,263.2 "
Southern Park Heights,24.2,86.6,83.4,38.0,NA,NA,13.5,0.5,10.3,70.1,15.5,3.8,12.3,33.7,152.5,414.0," 1,565.2 "
Southwest Baltimore,37.9,83.0,87.7,37.3,108,8.3,19.1,2.2,8.9,68.0,13.9,3.8,19.1,49.9,160.8,464.9," 1,368.4 "
The Waverlies,26.8,83.7,88.4,50.0,149,0,9.6,0.6,10.8,72.0,12.0,4.5,9.9,26.8,122.7,424.0," 1,714.3 "
Upton/Druid Heights,39.5,81.4,86.8,38.3,134,0,21.3,0.9,8.5,68.2,10.0,4.2,21.3,41.3,177.3,474.4," 1,428.6 "
