CSA2010,salepr15,dom15,shomes15,ownroc15,fore15,vacant15,resrehab15,totalres15,cashsa15,reosa15,taxlien15,demper15,constper15,affordm15,affordr15,histax15,homtax15,owntax15,nomail15,hcvhouseXX
Community Statistical Areas,Median Price of Homes Sold,Median Number of Days on the Market,Number of Homes Sold,Percentage of Properties that are Owner-Occupied,Percentage of Properties Under Mortgage Foreclosure,Percentage of Residential Properties that are Vacant and Abandoned,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Total Number of Residential Properties,Percentage of Residential Sales for Cash,Percentage of Residential Sales in Foreclosure (REO),Percentage of Residential Tax Lien Sales,"Number of Demolition Permits per 1,000 Residential Properties","Number of New Construction Permits per 1,000 Residential Properties",Affordability Index - Mortgage,Affordability Index - Rent,"Number of Historic Tax Credits per 1,000 Residential Units","Number of Homestead Tax Credits per 1,000 Residential Units","Number of Homeowner's Tax Credits per 1,000 Residential Units",Percent Residential Properties that do not Receive Mail,"Rate of Housing Vouchers per 1,000 Rental Units"
Allendale/Irvington/S. Hilton,"$35,500 ",56,116,58.1,2,6,1.8,"5,589",78.3,3.7,6.1,1.4,11.6,47.4,49.4,0,222,63.2,9.7,223.3
Beechfield/Ten Hills/West Hills,"$126,000 ",39,102,78.7,2.1,0.9,2.3,"3,612",27.8,2.4,2.9,0,0.3,36.6,45,0.8,356.6,55.1,2.4,135.9
Belair-Edison,"$42,000 ",33.5,161,61.6,3.2,3,1.7,"6,296",68.5,2.7,4.2,0.2,0,41.7,69.9,0.2,207.1,55.3,8.4,420.9
Brooklyn/Curtis Bay/Hawkins Point,"$37,500 ",35.5,95,43.5,2.1,6.2,0.8,"4,249",74.8,4.4,6,2.4,0,32.9,56.6,0,157.2,52,10.3,55.6
Canton,"$302,900 ",33,271,66.6,0.4,0.4,4.4,"4,033",18.4,0.3,0.8,0.7,1,25,30.3,57.5,291.8,33.5,4.3,11
Cedonia/Frankford,"$69,950 ",43,224,73.1,3.2,1.9,2.8,"6,285",45.1,1.1,3,0.3,0,42.2,57.6,0,333.5,71.9,5,139.5
Cherry Hill,"$19,109 ",48,7,49.5,0.9,5.2,1.1,984,85.7,4.8,7.7,0,0,36.3,48.3,0,304.9,66.1,3.7,94.7
Chinquapin Park/Belvedere,"$109,500 ",38,70,68.9,1.9,1.7,2.6,"2,689",40.6,1,2.5,0,0.4,36,60,0.4,336.2,61,7.7,134.5
Claremont/Armistead,"$104,900 ",34,25,85.1,0.7,0.4,0.9,"2,267",48.4,0,0.4,0,4.9,36.2,49.8,0,101.9,15,2.4,227.1
Clifton-Berea,"$19,000 ",51.5,73,33,1.1,26.7,1.2,"4,675",89,2.5,13.4,16.3,0,56.8,52.1,0.4,125.8,26.5,10.5,233.7
Cross-Country/Cheswolde,"$200,000 ",36,105,82.3,1.1,0.1,3.3,"2,926",54.3,2.1,0.8,0.7,0.3,43.6,42.8,0.3,348.9,62.5,0.6,27.1
Dickeyville/Franklintown,"$210,000 ",66,20,66.9,3.4,1.9,5,323,28.6,4.8,8.4,0,12.4,33.5,57.1,0,306.5,49.5,1,123.5
Dorchester/Ashburton,"$84,000 ",29,127,67.2,3,3.5,3.7,"3,422",46.8,1.3,6,0.9,0.6,43.7,58.8,0.3,458.5,86.2,7.6,139.3
Downtown/Seton Hill,"$215,000 ",63,33,37.6,2.5,11.6,3.2,687,29.6,7.4,1.6,18.9,2.9,42.9,50.8,49.5,148.5,7.3,1,101
Edmondson Village,"$45,500 ",29,83,64.5,1.9,3.4,2.3,"2,831",61.9,1.8,5.3,0,0.4,48.3,61.2,0,433.8,100,8.8,205.3
Fells Point,"$255,000 ",40,216,51.4,0.7,0.8,4.9,"4,096",19.9,0.5,1.1,6.3,2,25.3,32.3,50.5,238,31.3,3.2,11.5
Forest Park/Walbrook,"$50,150 ",46,93,56.4,2.7,6.3,3.3,"2,879",60.5,0.8,8.1,1,0.7,35.5,53.9,0,336.6,57.7,10,209.1
Glen-Fallstaff,"$63,500 ",35,142,73.7,1.6,1.3,2.8,"3,719",62.3,2.6,2.8,0,2.2,47.5,50.3,0,409.5,87.4,4.7,202.6
Greater Charles Village/Barclay,"$167,000 ",33,130,43.2,1,5.4,5.2,"3,681",40,0,2.9,1.1,1.6,37.8,52.1,19.6,244,25.8,5,64.8
Greater Govans,"$50,000 ",45.5,98,59.2,2.8,5,2.6,"3,731",73.3,1.7,6,1.6,0.3,43.5,51.9,0,358.9,76.9,11.3,213
Greater Mondawmin,"$36,100 ",34,60,50,1.9,12.3,1.5,"3,444",65.1,2.4,10.3,12.8,0.6,31.3,58.8,0,238.4,41.5,17.6,208.9
Greater Roland Park/Poplar Hill,"$269,900 ",27,123,75.4,0.2,0.1,4.2,"3,023",35.3,0,0.4,0,1.7,31.7,36.3,6.3,307.6,17.2,2.4,4.2
Greater Rosemont,"$17,500 ",54,137,45.4,1.6,16.8,1.4,"7,133",88.8,2,11.6,1.1,0.3,48.9,57.7,0,42.3,37.6,13.4,228.2
Greenmount East,"$39,500 ",40,52,28,0.8,32.5,2.2,"4,088",81.4,0,14,20.5,0.5,48.9,56.1,7.6,96.1,12.5,16.3,159.8
