CSA2010,crime15,viol15,prop15,juvarr15,juvviol15,juvdrug15,shoot15,gunhom15,caslt15,narc15,caracc15,arrest15
Community Statistical Areas,"Part 1 Crime Rate per 1,000 Residents","Violent Crime Rate per 1,000 Residents","Property Crime Rate per 1,000 Residents","Juvenile Arrest Rate per 1,000 Juveniles","Juvenile Arrest Rate for Violent Offenses per 1,000 Juveniles","Juvenile Arrest Rate for Drug-Related Offenses per 1,000 Juveniles","Number of Shootings per 1,000 Residents","Number of Gun-Related Homicides per 1,000 Residents","Number of Common Assault Calls for Service per 1,000 Residents","Number of Narcotics Calls for Service per 1,000 Residents","Number of Automobile Accident Calls for Service per 1,000 Residents","Number of Adult Arrests per 1,000 Residents (Over the age of 18)"
Allendale/Irvington/S. Hilton,59.3,15,43.8,21.2,8.3,1.5,4.5,0.9,68.6,51.7,66.7,21.9
Beechfield/Ten Hills/West Hills,37.3,7.9,28.9,3.8,0.8,0,2.2,0.4,42.8,21.7,44.4,9.1
Belair-Edison,52.5,11.8,39.4,24.1,9.2,0.9,2,0.5,65.2,24.9,60.2,20.8
Brooklyn/Curtis Bay/Hawkins Point,61.6,18.7,42.3,23.8,5.6,7,4.3,0.7,132.4,70.5,69.4,55.5
Canton,51.2,4.6,46.5,29.6,0,0,0.4,0,29.1,5.4,57.3,6.5
Cedonia/Frankford,53.6,11.7,41.5,17.9,3.2,1.2,2.4,0.3,47.8,20.6,52.5,16.2
Cherry Hill,57.3,19.4,36.3,24.8,7.4,2.8,2.8,0.1,100,41.3,38.6,28.6
Chinquapin Park/Belvedere,52.5,7.6,44.7,24.8,8.7,1.5,1.3,0,40.7,24.4,48.1,14.6
Claremont/Armistead,48.1,11.5,35.8,8.8,1.1,0,0.9,0.4,56.4,19.7,91.5,17.4
Clifton-Berea,66.5,23.7,41.2,29.7,1.7,7,6.4,0.8,101.3,141,79.1,81.6
Cross-Country/Cheswolde,23.7,0.9,22.5,0.7,0,0,0.4,0.1,9.8,0.9,12,0.4
Dickeyville/Franklintown,31.9,7.1,24.6,2.3,0,2.3,2.7,0.5,51.9,45.8,73.6,15.3
Dorchester/Ashburton,50.3,12.6,36.7,10.9,2.5,2.5,2.6,0.6,55.9,23.5,50.2,13.7
Downtown/Seton Hill,268.2,79.4,185.7,450,122.2,16.7,12.7,0,404.1,220.3,475.5,127.8
Edmondson Village,42.2,9.6,32,7.8,1.1,0,2.4,0.4,56.6,48.9,43.3,19
Fells Point,80.2,16.6,62.6,70.6,54.9,3.9,0.3,0,57.2,12.9,60.6,15.3
Forest Park/Walbrook,51.7,12,39.5,5.7,1.9,0,1.7,0.4,50.6,58.6,53.6,16.7
Glen-Fallstaff,55,13.5,40.8,12.4,4.8,0.7,2.5,0.5,58.7,42.1,90.9,17
Greater Charles Village/Barclay,71.1,21.4,49.2,88,16,8,1.9,0.2,74.2,33.4,65,23.2
Greater Govans,49,11.3,37.3,17.3,2.6,4.3,3.2,0.7,66.5,81.5,47.8,32.6
Greater Mondawmin,104.3,28.4,74.9,51.3,16.7,3.1,6.3,1.1,118.8,119.5,139.9,62.3
Greater Roland Park/Poplar Hill,27.9,4.2,23.5,15.5,6.2,0,0,0,8.8,2.2,88.2,4.5
Greater Rosemont,63.2,15.5,46.8,42.7,12.9,3,5.7,1,90.6,105.8,59,35.7
Greenmount East,76,22.6,52.4,43.3,13.4,4.1,7,1.5,107.4,136.5,96.9,59.8
