CSA2010,empl15,unempl15,nilf15,unempr15,lesshs15,hsdipl15,bahigher15,comprop15,crehab15,numbus15,smlbus15,banks15,biz1_15,biz2_15,biz4_15,neiind15,neibus15,neiemp15
Community Statistical Areas,Percent  Population 16-64 Employed,Percent  Population 16-64 Unemployed and Looking for Work,Percent  Population 16-64 Not in Labor Force,Unemployment Rate,Percent  Population (25 years and over) With Less Than a High School Diploma or GED,Percent  Population (25 years and over) With High School Diploma and Some College or Associates Degree,Percent  Population (25 years and over) with a Bachelor's Degree or Above,Total Number of Commercial Properties,"Percent of Commercial Properties with Rehab Permits Above $5,000",Total Number of Businesses,Number of Businesses with Under 50 Employees,"Number of Banks and Bank Branches per 1,000 Residents",Percent of Businesses that are 1 year old or less,Percent of Businesses that are 2 years old or less,Percent of Businesses that are 4 years old or less,Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Neighborhood Businesses per 1,000 residents (NAICS Sectors)",Total number of Employees by Selected Neighborhood Industry (NAICS Sectors)
Allendale/Irvington/S. Hilton,57.2,14.7,28.2,17.9,22.0,67.1,11.0, 281 ,6.8, 230 , 216 ,0.0,5.2,13.5,30.0, 141 ,8.7," 1,180 "
Beechfield/Ten Hills/West Hills,64.7,9.9,25.4,11.8,12.8,62.6,24.6, 45 ,22.2, 139 , 129 ,0.1,4.3,8.6,28.1, 88 ,7.2, 760 
Belair-Edison,55.4,10.9,33.7,14.0,12.7,70.0,17.4, 163 ,7.4, 240 , 228 ,0.1,6.3,12.1,23.3, 183 ,10.5," 1,096 "
Brooklyn/Curtis Bay/Hawkins Point,54.9,14.1,31.0,17.7,29.9,63.6,6.6, 757 ,6.3, 457 , 423 ,0.1,5.9,12.0,31.3, 239 ,16.8," 1,862 "
Canton,85.9,2.9,11.2,3.2,4.4,28.2,67.4, 201 ,16.9, 339 , 316 ,0.5,8.6,13.0,32.4, 241 ,29.8," 2,766 "
Cedonia/Frankford,66.5,8.2,25.3,9.9,16.2,67.8,16.0, 231 ,8.2, 369 , 348 ,0.2,6.5,15.2,29.5, 255 ,10.8," 1,855 "
Cherry Hill,49.6,9.7,40.7,14.2,18.9,69.8,11.3, 93 ,10.8, 151 , 136 ,0.0,9.3,18.5,34.4, 95 ,11.6, 757 
Chinquapin Park/Belvedere,71.1,10.6,18.3,12.1,8.3,55.0,36.7, 56 ,17.9, 258 , 239 ,0.3,7.0,13.6,31.4, 178 ,22.9," 1,439 "
Claremont/Armistead,61.3,15.0,23.6,18.3,21.1,63.5,15.4, 187 ,9.1, 230 , 214 ,0.0,4.3,9.1,24.3, 99 ,12.0," 1,105 "
Clifton-Berea,52.9,11.4,35.7,14.5,20.4,71.9,7.7, 148 ,4.7, 201 , 194 ,0.0,5.0,16.9,30.3, 158 ,16.0, 804 
Cross-Country/Cheswolde,68.3,4.7,27.0,5.7,4.9,39.9,55.2, 24 ,20.8, 273 , 257 ,0.0,7.7,14.7,31.1, 169 ,13.0, 815 
Dickeyville/Franklintown,66.8,3.5,29.8,4.2,9.8,65.0,25.2, 30 ,16.7, 42 , 39 ,0.0,7.1,11.9,42.9, 18 ,4.4, 97 
Dorchester/Ashburton,54.3,15.6,30.1,19.2,16.7,69.6,13.7, 117 ,8.5, 180 , 169 ,0.0,4.4,15.0,35.0, 117 ,9.9, 789 
Downtown/Seton Hill,66.1,3.9,30.0,4.8,8.0,28.8,63.1," 1,223 ",23.0," 3,152 "," 2,902 ",3.3,8.9,15.4,36.2," 2,333 ",361.9," 63,924 "
Edmondson Village,63.5,14.4,22.1,16.8,16.6,75.1,8.3, 33 ,12.1, 72 , 68 ,0.0,8.3,12.5,29.2, 54 ,6.8, 276 
Fells Point,81.8,4.6,13.6,5.0,9.2,22.6,68.2, 516 ,16.3, 525 , 492 ,0.4,6.5,14.1,34.1, 358 ,39.6," 4,994 "
Forest Park/Walbrook,58.5,6.5,35.0,8.3,14.4,67.5,18.1, 52 ,9.6, 151 , 148 ,0.0,7.9,13.2,29.1, 112 ,11.4, 572 
Glen-Fallstaff,59.2,11.6,29.2,14.6,15.8,59.0,25.2, 334 ,9.6, 598 , 554 ,0.3,4.0,12.2,25.6, 380 ,25.5," 3,809 "
Greater Charles Village/Barclay,50.0,5.9,44.1,8.2,11.4,37.4,51.2, 610 ,18.7, 846 , 796 ,0.2,8.6,15.5,35.1, 609 ,37.2," 5,088 "
Greater Govans,56.3,11.0,32.6,14.2,18.8,65.2,16.0, 120 ,4.2, 213 , 199 ,0.0,9.9,17.8,36.2, 149 ,14.0, 840 
Greater Mondawmin,48.7,12.1,39.2,16.0,19.8,66.0,14.2, 140 ,22.1, 239 , 224 ,0.4,5.9,15.5,31.0, 163 ,17.5," 1,248 "
Greater Roland Park/Poplar Hill,71.5,2.0,26.5,2.4,0.8,18.8,80.4, 115 ,17.4, 402 , 373 ,0.7,8.7,15.7,28.4, 298 ,40.4," 2,530 "
Greater Rosemont,51.6,11.7,36.7,15.3,22.0,68.6,9.4, 310 ,6.1, 284 , 264 ,0.1,6.0,18.7,34.5, 200 ,10.4, 895 
Greenmount East,46.6,15.9,37.5,20.1,23.1,68.7,8.2, 186 ,6.5, 133 , 125 ,0.0,7.5,10.5,18.8, 99 ,12.1, 521 
Hamilton,75.8,6.7,17.5,7.4,10.8,60.3,28.9, 193 ,15.0, 400 , 382 ,0.2,7.0,14.3,29.0, 291 ,22.4," 1,619 "
